0.02	0.39	0.3983
0.02	0.4	0.408
0.02	0.41	0.4177
0.02	0.42	0.4274
0.02	0.43	0.4371
0.02	0.44	0.4468
0.02	0.45	0.4565
0.02	0.46	0.4662
0.02	0.47	0.4759
0.02	0.48	0.4856
0.02	0.49	0.4953
0.02	0.5	0.505
0.02	0.51	0.5147
0.02	0.52	0.5244
0.02	0.53	0.5341
0.02	0.54	0.5438
0.02	0.55	0.5535
0.02	0.56	0.5632
0.02	0.57	0.5729
0.02	0.58	0.5826
0.02	0.59	0.5923
0.02	0.6	0.602
0.02	0.61	0.6117
0.02	0.62	0.6214
0.02	0.63	0.6311
0.02	0.64	0.6408
0.02	0.65	0.6505
0.02	0.66	0.6602
0.02	0.67	0.6699
0.02	0.68	0.6796
0.02	0.69	0.6893
0.02	0.7	0.699
0.02	0.71	0.7087
0.02	0.72	0.7184
0.02	0.73	0.7281
0.02	0.74	0.7378
0.02	0.75	0.7475
0.02	0.76	0.7572
0.02	0.77	0.7669
0.02	0.78	0.7766
0.02	0.79	0.7863
0.02	0.8	0.796
0.02	0.81	0.8057
0.02	0.82	0.8154
0.02	0.83	0.8251
0.02	0.84	0.8348
0.02	0.85	0.8445
0.02	0.86	0.8542
0.02	0.87	0.8639
0.02	0.88	0.8736
0.02	0.89	0.8833
0.02	0.9	0.893
0.02	0.91	0.9027
0.02	0.92	0.9124
0.02	0.93	0.9221
0.02	0.94	0.9318
0.02	0.95	0.9415
0.02	0.96	0.9512
0.02	0.97	0.9609
0.02	0.98	0.9706
0.02	0.99	0.9803

0.03	0	0.03
0.03	0.01	0.03955
0.03	0.02	0.0491
0.03	0.03	0.05865
0.03	0.04	0.0682
0.03	0.05	0.07775
0.03	0.06	0.0873
0.03	0.07	0.09685
0.03	0.08	0.1064
0.03	0.09	0.11595
0.03	0.1	0.1255
0.03	0.11	0.13505
0.03	0.12	0.1446
0.03	0.13	0.15415
0.03	0.14	0.1637
0.03	0.15	0.17325
0.03	0.16	0.1828
0.03	0.17	0.19235
0.03	0.18	0.2019
0.03	0.19	0.21145
0.03	0.2	0.221
0.03	0.21	0.23055
0.03	0.22	0.2401
0.03	0.23	0.24965
0.03	0.24	0.2592
0.03	0.25	0.26875
0.03	0.26	0.2783
0.03	0.27	0.28785
0.03	0.28	0.2974
0.03	0.29	0.30695
0.03	0.3	0.3165
0.03	0.31	0.32605
0.03	0.32	0.3356
0.03	0.33	0.34515
0.03	0.34	0.3547
0.03	0.35	0.36425
0.03	0.36	0.3738
0.03	0.37	0.38335
0.03	0.38	0.3929
0.03	0.39	0.40245
0.03	0.4	0.412
0.03	0.41	0.42155
0.03	0.42	0.4311
0.03	0.43	0.44065
0.03	0.44	0.4502
0.03	0.45	0.45975
0.03	0.46	0.4693
0.03	0.47	0.47885
0.03	0.48	0.4884
0.03	0.49	0.49795
0.03	0.5	0.5075
0.03	0.51	0.51705
0.03	0.52	0.5266
0.03	0.53	0.53615
0.03	0.54	0.5457
